Optimization Method,Num Qubits,Num Iterations,SVM Train Score,SVM Test Score,KTA List,Optimised Weights
Nelder-Mead,2,54,0.6,0.42,"[0.008263348619151928, 0.009686747827566494, 0.012071224719575797, 0.01735637294158324, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.018998694122347386, 0.018998694122347386, 0.01930887957135011, 0.01966320526407396, 0.019833871410271525, 0.019833871410271525, 0.019855519274584257, 0.019885847395580233, 0.019913706873137867, 0.019913706873137867, 0.019913706873137867, 0.019913706873137867, 0.019914009604390347, 0.01991552554049883, 0.019915587071566668, 0.019915889727571048, 0.019915889727571048, 0.019915889727571048, 0.01991594046524776, 0.01991594046524776, 0.01991594046524776, 0.01991594046524776, 0.01991594366218553, 0.019915944390851897, 0.019915944832939993, 0.019915945043232536, 0.019915945161157737, 0.019915945255486876, 0.019915945325143136, 0.019915945325143136, 0.01991594532769291, 0.019915945336265676, 0.019915945339048575, 0.019915945339048575, 0.01991594533931441, 0.019915945340305153, 0.019915945340580284, 0.019915945340580284, 0.019915945340580284, 0.019915945340580284, 0.019915945340642307, 0.019915945340648562, 0.019915945340654242, 0.019915945340656507, 0.019915945340656507]","[3.0899763075079, -0.19217826577239033]"
Nelder-Mead,2,54,0.6,0.42,"[0.008263348619151928, 0.009686747827566494, 0.012071224719575797, 0.01735637294158324, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.01856004922564216, 0.018998694122347386, 0.018998694122347386, 0.01930887957135011, 0.01966320526407396, 0.019833871410271525, 0.019833871410271525, 0.019855519274584257, 0.019885847395580233, 0.019913706873137867, 0.019913706873137867, 0.019913706873137867, 0.019913706873137867, 0.019914009604390347, 0.01991552554049883, 0.019915587071566668, 0.019915889727571048, 0.019915889727571048, 0.019915889727571048, 0.01991594046524776, 0.01991594046524776, 0.01991594046524776, 0.01991594046524776, 0.01991594366218553, 0.019915944390851897, 0.019915944832939993, 0.019915945043232536, 0.019915945161157737, 0.019915945255486876, 0.019915945325143136, 0.019915945325143136, 0.01991594532769291, 0.019915945336265676, 0.019915945339048575, 0.019915945339048575, 0.01991594533931441, 0.019915945340305153, 0.019915945340580284, 0.019915945340580284, 0.019915945340580284, 0.019915945340580284, 0.019915945340642307, 0.019915945340648562, 0.019915945340654242, 0.019915945340656507, 0.019915945340656507]","[3.0899763075079, -0.19217826577239033]"
Nelder-Mead,4,119,0.92,0.54,"[0.04069175511633449, 0.041673776272846526, 0.04483583263014001, 0.04483583263014001, 0.04483583263014001, 0.0487802565694739, 0.0487802565694739, 0.05650191811568149, 0.05650191811568149, 0.05650191811568149, 0.05650191811568149, 0.05863645528852244, 0.05863645528852244, 0.06387591987649936, 0.06387591987649936, 0.06764369108319451, 0.06764369108319451, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07511055998330625, 0.07759792045229194, 0.07759792045229194, 0.07759792045229194, 0.07759792045229194, 0.07940473021930002, 0.07940473021930002, 0.07940473021930002, 0.07940473021930002, 0.07940473021930002, 0.0794740918570026, 0.07951720118333494, 0.07951720118333494, 0.07951720118333494, 0.07958374448484244, 0.07958374448484244, 0.07960694673090662, 0.07961497323997559, 0.07961567768277777, 0.07964504146555726, 0.07964504146555726, 0.07964504146555726, 0.07965265528807661, 0.07965871873726244, 0.079663312672, 0.07966397444423626, 0.07966565948668479, 0.07966836350809126, 0.07968441661249898, 0.07968441661249898, 0.07968441661249898, 0.0797112906247033, 0.0797112906247033, 0.0797112906247033, 0.0797112906247033, 0.0797112906247033, 0.07971445394836676, 0.07976188308775979, 0.07976188308775979, 0.07976188308775979, 0.07980529472682346, 0.07982428207090478, 0.07988809574471813, 0.07995720322648994, 0.08012525127284183, 0.08012525127284183, 0.08038065726553167, 0.08038065726553167, 0.08070906103757133, 0.08070906103757133, 0.08116843430934764, 0.08116843430934764, 0.08136043235961854, 0.08136043235961854, 0.08136043235961854, 0.08137171068985821, 0.08140620039868841, 0.08142130939525102, 0.08142978855736227, 0.08142978855736227, 0.08142978855736227, 0.08147194573217577, 0.08147194573217577, 0.08147194573217577, 0.08147194573217577, 0.08148418435916732, 0.08148418435916732, 0.08148624631716388, 0.08148624631716388, 0.08148659879788708, 0.08148980628540074, 0.08148980628540074, 0.0814900063388024, 0.08149156264212393, 0.08149156264212393, 0.08149156264212393, 0.0814917632157939, 0.0814917632157939, 0.08149207717811688, 0.08149207717811688, 0.08149207717811688, 0.08149212502944508, 0.08149212502944508, 0.08149212502944508, 0.08149216342611916, 0.08149216524815092, 0.08149218853416941, 0.08149220233468184, 0.08149220665049223, 0.08149220665049223, 0.08149221108578397, 0.08149221430211397, 0.08149221536906855, 0.08149221536906855]","[6.701953342041012, 6.2295601969558865, -0.035901889512764865, 3.3650390959521848]"
