Optimization Method,Num Qubits,Num Iterations,SVM Train Score,SVM Test Score,KTA List,Optimised Weights
Gradient Ascent,4,120,"[0.79, 0.83, 0.85, 0.85, 0.86, 0.86, 0.86, 0.88, 0.88, 0.88, 0.88, 0.9]","[0.48, 0.54, 0.56, 0.56, 0.56, 0.56, 0.56, 0.56, 0.54, 0.54, 0.54, 0.54]","[0.02482074651301324, 0.028898759268213947, 0.014077036354926869, 0.016260566290813697, 0.02198829815263226, 0.01947941797209133, 0.029081211115400657, 0.025775384929336998, 0.026131198318489163, 0.030861704459036764, 0.02547420135792792, 0.039930013160263914, 0.02560314975466129, 0.02545072774148264, 0.021984198680133155, 0.01905657145998362, 0.023061462452361025, 0.022922038964697116, 0.03410405737984558, 0.02776237592194187, 0.023701504590163756, 0.029859956815079886, 0.030720856240463428, 0.034059253197977896, 0.020468567823264134, 0.030310147958350946, 0.02026132866081608, 0.027934092658631875, 0.01886726181027996, 0.028856900169177066, 0.02545938580502409, 0.040357603316159944, 0.026558732739242006, 0.03023879047211967, 0.02689967069917218, 0.036764639246345945, 0.02212104123984381, 0.018369539087019687, 0.043471981181127745, 0.042014265131058215, 0.020233506061112853, 0.017836135829556864, 0.029321320627959228, 0.040180181138032, 0.024920418939797438, 0.03691360870923885, 0.028373487761979187, 0.028236937535424986, 0.024541375761419123, 0.026864277070608004, 0.04458410398322308, 0.027410312644027865, 0.028263916270592673, 0.03115724703396776, 0.023642546422401902, 0.022162409492247598, 0.03056845975631015, 0.036138430969170604, 0.03407266988003129, 0.021937549075298074, 0.030584894786395516, 0.018124915919535075, 0.02373121004407945, 0.021637286172645195, 0.034810547291336646, 0.02840898151909219, 0.02532338241218232, 0.026183416987016064, 0.028480493038056585, 0.026537311912678333, 0.02894659296360161, 0.023538442078975194, 0.022680695528183366, 0.03826376754208275, 0.024121570825818433, 0.03615899548695428, 0.031611131427111736, 0.024626352056090556, 0.028700876983686254, 0.022074479617431832, 0.030939880531922623, 0.03232612319473802, 0.02847775228601778, 0.03687797223677663, 0.03219803856626382, 0.03516457372033169, 0.01815352081419401, 0.029683333812971693, 0.030844878552173736, 0.028275976480003347, 0.021422878252492783, 0.03319663411137809, 0.03417185815695128, 0.03302292644789382, 0.027955334158268317, 0.0427368592018878, 0.027584677409931726, 0.028845855237573298, 0.02863206492573905, 0.029893827812717346, 0.025919460438692834, 0.04404281074463202, 0.03423872551546797, 0.024189948610516956, 0.024258037465014776, 0.025780677609981133, 0.025841534186640293, 0.027939527914205533, 0.026576871312646782, 0.03246980671816296, 0.026667569827474463, 0.03953013801706782, 0.02924968334578984, 0.029885183172018707, 0.03589478863134844, 0.028564034496500388, 0.02011672701766373, 0.026149997438050028, 0.03222121445358908, 0.02374341003990882]","[3.657088973069422, 2.99620758685385, 3.2899343887740313, 2.632341902763758]"
Gradient Ascent,4,1000,"Train SVM Score: 0.7, Test SVM Score: 0.54",[],"[0.026335343830464354, 0.016590195964050626, 0.03011470855377788, 0.028199608079889416, 0.025064603065618824, 0.019649545270129277, 0.010976697121051522, 0.011155087765693308, 0.00892880802313672, 0.013957857308006735, 0.01828065434668865, 0.023792593527302067, 0.03954473680908136, 0.022533740535163983, 0.02520733557792662, 0.011032996634445163, 0.029142670338421165, 0.012180544232230599, 0.04630944265143563, 0.015503077571758608, 0.01083220627042446, 0.031075804162541725, 0.016012768831869476, 0.021450125193259634, 0.0369566800007901, 0.01524130053052408, 0.029180324099834086, 0.01862685806776765, 0.023474814750866817, 0.011246061078298598, 0.024505869002590563, 0.045836004955175105, 0.021267140931556, 0.03893894022113485, 0.019093901885132044, 0.01855128591721453, 0.020263572512382866, 0.033307563273951964, 0.017314959370468137, 0.0215638784476345, 0.013454388577145902, 0.018087436864794203, 0.015472927123996989, 0.007646426041775651, 0.010012575531617262, 0.018611030869084725, 0.022849638766718812, 0.016051554845025632, 0.02067103901149245, 0.029225948335990872, 0.01942619638070398, 0.020249689970073818, 0.018744017197653322, 0.018698762498019557, 0.020465253779393316, 0.018380712268983596, 0.02007176911234951, 0.009934147773106925, 0.02702003563313642, 0.024970498142472822, 0.022213944772757538, 0.016324297090349413, 0.026943067199409705, 0.046290659108684074, 0.01519318404148104, 0.01737229616968936, 0.024626276898028803, 0.015126693202546993, 0.024354360267239094, 0.021721375139098064, 0.01707730268224489, 0.017564947431698234, 0.021756659741735327, 0.0152086497688963, 0.020068806072561212, 0.029495508092890435, 0.01400322088662721, 0.030534207219356617, 0.02176306896574167, 0.01970417415122324, 0.02078336485945951, 0.015389521007673965, 0.02334753071189086, 0.01925113354903332, 0.015546131550235235, 0.015403586189031706, 0.020425312142284064, 0.02446182540841224, 0.012614058855995218, 0.00886805614684574, 0.02514058616640861, 0.02216182279579868, 0.01791106450212751, 0.04092737668414883, 0.012781049568356347, 0.028684661444185945, 0.015792632015248127, 0.02018475553153032, 0.0338663305586151, 0.016484936882149512, 0.027289862783240085, 0.015539608802095574, 0.028789326672231844, 0.02365318184585542, 0.02312107192807444, 0.0072858440619555705, 0.02485810226358154, 0.053322709525692076, 0.019628030945207528, 0.024493253101501723, 0.02043621755331337, 0.033189432514828365, 0.022252662882468653, 0.03452141946026207, 0.01997818743931469, 0.027143711185788295, 0.02181725791236629, 0.02194674372681818, 0.02118055325724921, 0.018198670386355205, 0.011999242644359073, 0.02745951713763801, 0.03295130826391064, 0.012900762128632014, 0.021070211260285878, 0.030681915200214502, 0.016462829548021363, 0.012253263921964928, 0.023839824604215493, 0.035070688879085175, 0.02420763832480926, 0.01676166140308817, 0.02024096037210539, 0.03324583115622364, 0.020265714532536176, 0.017679151480456012, 0.015604161602224685, 0.019970776424778642, 0.012580733855731795, 0.01780979638323276, 0.015816500369894453, 0.021803283746798824, 0.031119928726646262, 0.015310457621772506, 0.010471856397021528, 0.021319932456589395, 0.03598959028393977, 0.04236486569146336, 0.015810112153323418, 0.020795377655064624, 0.023415234701117015, 0.03497710499641323, 0.02636793920798878, 0.026504666021627266, 0.014070379429143179, 0.027741743515454994, 0.02811346425734743, 0.024320159227133868, 0.01213473433004085, 0.018432845245859777, 0.03864933812392503, 0.02374798764866971, 0.015963024982238852, 0.02281266038959672, 0.021781477892487144, 0.025550282305342207, 0.030397709796111654, 0.017609637296668413, 0.01442764704297423, 0.013844813444057516, 0.03135550441339388, 0.03247787845934713, 0.016851592486841253, 0.024069363235841475, 0.011992856784731974, 0.008053489724411096, 0.01840895641773847, 0.010467874137251382, 0.01865424463654058, 0.018626349771733518, 0.029122634308265456, 0.025844752742314556, 0.021827576654717885, 0.029616421298863847, 0.02482132233012156, 0.014322751433187727, 0.011720052745734759, 0.02561626771728478, 0.017928437045768107, 0.01858770047997811, 0.02744362438954007, 0.033548937552428784, 0.01307148230186079, 0.0374514826942453, 0.021844884563027047, 0.01273351561114407, 0.015582534104695685, 0.02193587533637636, 0.021389089993444632, 0.02616667722924273, 0.017581448304019184, 0.020822671238781967, 0.02779152420424717, 0.04662465131600478, 0.013375317776122962, 0.015950281912982808, 0.02485475812420565, 0.028573460910803018, 0.020389904889651526, 0.030227864633019092, 0.022178077982351753, 0.01194026016854707, 0.026978870413991548, 0.028760855216607074, 0.012341763326742831, 0.031349691156535416, 0.012178699043679636, 0.023717801882046398, 0.018109147818149606, 0.024430300704373645, 0.016866680872018692, 0.028577684440116786, 0.019007286273823382, 0.00823159747610453, 0.021017352053997067, 0.017919923509263292, 0.02643524571802237, 0.01125719268190939, 0.034027137700661396, 0.02455147378858582, 0.010968477270775216, 0.015322680421401757, 0.012490153208441934, 0.015955732832136672, 0.021314989555903847, 0.015348730904647988, 0.01357640676394403, 0.025603618015669075, 0.032457183472706784, 0.021354111722701005, 0.023446621816590938, 0.029083989678274347, 0.024628840366587756, 0.02370936846410094, 0.03659425074929595, 0.022878150420317052, 0.022901905556602868, 0.028579700157895793, 0.03953313513110908, 0.017061718827508555, 0.04064511318204601, 0.040058698725757076, 0.02890358935253597, 0.013959521463679217, 0.02137761559839075, 0.03623454150474344, 0.021401635233415612, 0.017401244210841757, 0.02705765600806281, 0.023090861559368722, 0.026465970141134793, 0.017061737687746586, 0.01620933209007319, 0.02140956836942328, 0.01981788212024907, 0.020158791369437802, 0.01653673651304051, 0.020757573369229117, 0.008876438174981415, 0.012531008425888413, 0.02658470097005999, 0.014626216908123397, 0.031050401296482025, 0.02015984725399649, 0.027725445430140404, 0.04506853318867469, 0.02146569797793154, 0.01783671334388173, 0.03081712229849773, 0.015934333897355765, 0.02362220274310524, 0.03309823410168528, 0.030219512574256494, 0.022874027048213813, 0.01941139905230251, 0.01745123373530259, 0.0168507625734577, 0.03188462549525013, 0.05433200280774579, 0.01472115609435664, 0.04056172502249366, 0.015733662832179186, 0.0341097612890732, 0.021582615945161067, 0.013292898237246586, 0.02236195998568148, 0.01013248202311589, 0.01940650317591692, 0.024206237486328174, 0.023123589857416065, 0.02108970835243573, 0.024735543316217832, 0.014635835589421749, 0.013662912890098279, 0.0235230803647542, 0.04375914476860249, 0.020120889434040928, 0.026799048591963946, 0.020792301465856113, 0.030897264506148363, 0.02446300702355493, 0.026370769708267926, 0.03502269325892195, 0.022554864138237096, 0.03090406846037276, 0.023176856606608887, 0.021315686767444896, 0.014295479478057932, 0.018298779487360528, 0.013024237971054897, 0.028651302182309046, 0.016860697236689932, 0.031111904735891704, 0.015078458834680336, 0.02119928930587162, 0.012490913034618788, 0.019019769609073922, 0.037374487909165824, 0.02537249416754835, 0.014328414868714747, 0.013721636261389322, 0.029393075585378972, 0.013785293944929809, 0.05520980543960588, 0.009128441119141475, 0.03212721079602648, 0.018455425208647954, 0.025685435529234125, 0.023619229351404477, 0.032615273460822915, 0.021992615892669803, 0.023552787798566958, 0.012729232552044119, 0.008573567254369693, 0.03390305727497535, 0.03792611546370896, 0.017872545277905837, 0.021772925483562564, 0.012983594785472074, 0.011115534532080302, 0.023737101497104385, 0.022281021902360896, 0.028589151551238166, 0.02879714644559414, 0.021815260668589513, 0.027854737459178047, 0.01314300157770942, 0.01973464680990509, 0.02467104678686282, 0.040060233563549104, 0.049145911616900365, 0.025642749833440195, 0.024438183885617783, 0.019920317407865144, 0.02029043424868259, 0.014237353470670126, 0.01133354406982701, 0.02779435625665043, 0.020905589550735747, 0.01954023000346843, 0.01450781108697298, 0.024456293099095108, 0.02301857519059404, 0.026765181895016164, 0.026860641959719753, 0.01080163622786666, 0.01271542843394264, 0.027535009171602336, 0.016218785183090608, 0.024477757660695917, 0.019956407452875368, 0.010204705733247471, 0.012977957343284469, 0.025350719619562898, 0.017836073543706376, 0.02312674966523449, 0.026977265293181313, 0.01992886487444141, 0.021317477703785632, 0.010335436093677446, 0.017534676929442654, 0.020092314285262862, 0.03518510952437562, 0.007843623975788533, 0.02061739874471115, 0.02133809013844002, 0.018323773361298253, 0.02198480459321898, 0.020553395295261435, 0.02264156052323089, 0.013797557162817145, 0.01494679474229463, 0.027333205195746994, 0.013755064580638424, 0.019287741539584992, 0.011327592467948447, 0.03239093161167959, 0.05564835552962677, 0.030586485008472747, 0.023417733315798776, 0.0241126039358015, 0.01194486836159542, 0.020656877045485, 0.03417305190364869, 0.023729368360538707, 0.01795770245066256, 0.018611704989562425, 0.022038957253529997, 0.02238329022521184, 0.03139630365295989, 0.025364343643284864, 0.015212536003402341, 0.02212708431688301, 0.013471943100040948, 0.021771894774707416, 0.04926488046639315, 0.016027848267754215, 0.023883428233258713, 0.03182572006353508, 0.03002566442385598, 0.044357948030189547, 0.01509147182336694, 0.023363488068939953, 0.013494804462322667, 0.025055826141504863, 0.03481401175402098, 0.029399253493597365, 0.030273713759077853, 0.007026256339086187, 0.021980642931189256, 0.040204452409674185, 0.03803470164815078, 0.013593586433070317, 0.016935500125280282, 0.01876091061221154, 0.025988976853037735, 0.021260294299194977, 0.032368385040563365, 0.017452227340056, 0.01395886488127473, 0.018537672831763143, 0.01630890388040928, 0.03312765162181382, 0.020559279311146723, 0.025314019603032176, 0.04063478799763418, 0.02203151943183063, 0.022835802082185306, 0.020117088562546247, 0.030952814527486987, 0.02305231350646844, 0.021871379320530005, 0.029597972121732364, 0.014431006618030082, 0.03813317920929492, 0.020655443294192447, 0.039833390400583715, 0.04340502196557983, 0.015867126482738723, 0.02321800027452986, 0.021910145068861943, 0.020313458701006232, 0.03657235073428799, 0.030618855493215292, 0.019689593150259834, 0.01943168991389347, 0.015805628205604983, 0.018575561026150537, 0.017587471480344716, 0.027413866702207308, 0.013939826207683689, 0.0262891971978565, 0.017318892535448344, 0.018082721364924392, 0.031458480886735564, 0.022206363920086677, 0.014134056503105608, 0.031670393236917754, 0.015715175543264882, 0.01521102670167954, 0.029834849137552605, 0.019564509011010412, 0.03196919472192139, 0.020814790787010127, 0.025026426784623256, 0.020014970300940352, 0.016259177570406014, 0.03752484340283088, 0.02031798707209552, 0.017175386743161547, 0.027019303221714253, 0.014618246733472668, 0.020145281607628893, 0.026447556657275807, 0.03052011880890456, 0.014229202741176141, 0.02402231390499969, 0.021492697869706152, 0.018334657067111012, 0.0186326782898745, 0.02515676848789446, 0.022679500830214982, 0.03000535571376642, 0.023329842671892545, 0.01656648593297141, 0.02955258602419917, 0.0328187124652377, 0.025981366852388107, 0.0436853884210778, 0.033184139321654677, 0.020464716896106572, 0.02532991778650738, 0.01497647854449405, 0.022079430011485827, 0.02277558711816164, 0.016944496062964866, 0.019697416819839924, 0.02000150704191023, 0.02542964458197551, 0.0264485521442729, 0.01997670614389657, 0.029672205724987476, 0.02759506235239276, 0.01915335837690574, 0.024851130233068317, 0.014565519412713807, 0.027905598058789723, 0.018934830454269417, 0.024510513915004424, 0.023755102688674663, 0.0246538006826107, 0.02272761995577585, 0.020189997624550655, 0.01661557305501059, 0.02374305517593036, 0.036684874701604434, 0.01906795450739494, 0.016699885686901728, 0.018272105448489756, 0.014034331542261497, 0.014110733388333331, 0.03045920876210812, 0.016606839601221977, 0.010466382985791346, 0.023239078994309555, 0.023608612376563066, 0.02364082986632169, 0.021418989730478084, 0.04328649974428597, 0.010773186341448724, 0.015377288324730449, 0.03591874071258704, 0.012410614637101362, 0.017002392168029505, 0.03262608317775652, 0.018050023011298415, 0.010483111970928464, 0.011229815152010623, 0.037800270462421126, 0.011748514966329913, 0.028038851650178054, 0.011110905357461582, 0.01937628422677846, 0.025929200350208764, 0.025495705633744117, 0.018589407247622213, 0.021340286839971856, 0.02314197833088638, 0.01780552423723247, 0.027762740516637425, 0.01617307186816713, 0.018613654705557283, 0.02289037674302375, 0.01789239957820868, 0.021489352250254133, 0.019112875936218347, 0.015669769266289445, 0.03627788679738737, 0.02182242784709441, 0.025576209395108074, 0.03109993716319817, 0.0208399484416511, 0.015552626326793651, 0.02560448370769409, 0.018601619605788804, 0.02744797030121891, 0.025221506863624454, 0.013912009030764866, 0.027659997620450974, 0.024180332565591982, 0.021284289962102357, 0.015669194972264655, 0.02408949268166816, 0.0176657695501722, 0.030140830306874703, 0.025879179481656016, 0.025816462461213798, 0.027422698324821665, 0.02212299603040978, 0.024402836078982245, 0.02182772873014126, 0.029866934885916477, 0.01897260138718208, 0.011710554143436788, 0.017811677196748393, 0.02280058999252241, 0.02101486353985988, 0.01571811797029332, 0.025437526784540438, 0.023280208715766172, 0.023351632607729083, 0.014731556605684983, 0.01873090184105234, 0.019234739772484948, 0.030923535503266653, 0.012950499462736952, 0.021932988410914782, 0.026292229758992355, 0.015599771506368244, 0.007816087521372538, 0.04897268188716162, 0.014675516315225554, 0.020393227726210633, 0.021673531988826673, 0.017117505247805396, 0.024841324995249634, 0.03892637935585128, 0.022921859604647207, 0.014665228822513683, 0.013613965925659338, 0.023590248746857147, 0.016431698472663646, 0.021937827288500893, 0.024456606242994183, 0.026051186405012725, 0.01800697354573769, 0.020744135966244318, 0.025788812293291684, 0.017350811935220718, 0.025744364497287262, 0.01005477617495855, 0.028114086980923766, 0.01876774450934116, 0.022049681495703036, 0.03313787039838491, 0.02823984913865242, 0.02776799485249512, 0.026780307598966532, 0.013843190241488711, 0.028377587506991358, 0.02228523515741523, 0.02139278252353221, 0.031806335918005316, 0.030075931403610843, 0.01089660405238074, 0.018902664447505452, 0.02388429314425371, 0.021252283428276824, 0.013890044846590196, 0.02544236125346692, 0.02683765158243299, 0.027478250369167928, 0.01901195112747328, 0.02449706776300404, 0.04722524496112472, 0.015270561858407751, 0.013494044474602666, 0.028088586884100805, 0.011459401531229773, 0.020959132308166, 0.03568854386581304, 0.019583573858983745, 0.015316659881993133, 0.021224537582521782, 0.020111213063471904, 0.023800978490642645, 0.019540911024314905, 0.018312070127458637, 0.013822943692361641, 0.017720457203584953, 0.015599439426765874, 0.016212739656467686, 0.03092852715332336, 0.020964030964878862, 0.028620170801460246, 0.016687140811196988, 0.011622887158074458, 0.01945542633094482, 0.0237384924783317, 0.025849499754807374, 0.016666475841462903, 0.023534852724863678, 0.01856045390829795, 0.021834704302399317, 0.05073818063508228, 0.02341416091565318, 0.02903492109251857, 0.0205312248802818, 0.01824914869564029, 0.008498764534224037, 0.017787529447581378, 0.03766659494506502, 0.018098087928811353, 0.028566831007867572, 0.029878909867960622, 0.013872799901126285, 0.012846196477645854, 0.031026600320585455, 0.038786655851473124, 0.040816270727742604, 0.03590606662985871, 0.026318664989642665, 0.034221265774404354, 0.019224665469859493, 0.02412238896624322, 0.021953841221566073, 0.03227629723820792, 0.0141184760739949, 0.025590858876403225, 0.02509646277459434, 0.0146428522933812, 0.023697817427005323, 0.028038879018863393, 0.03553432251411083, 0.03435885573242264, 0.03270649899575501, 0.023329227527730867, 0.029882360810951497, 0.0254879185866697, 0.027309547091080244, 0.02646215280949942, 0.033475067111593544, 0.018269249383562846, 0.015024504651366373, 0.024653806879998727, 0.024526712642036225, 0.015508085609745963, 0.013908441390046449, 0.023626269709650857, 0.027987617214306478, 0.02834441633664472, 0.020486301293283535, 0.02540540046916596, 0.017891798521439482, 0.03157247749300899, 0.05073858935584896, 0.03571417232092042, 0.01846200144071114, 0.03118484988519691, 0.030601246177666925, 0.018052237577510632, 0.02091588104229067, 0.019451735765576225, 0.016797984638087706, 0.029357172692712503, 0.022825525282288275, 0.0313282391991077, 0.02239445749322302, 0.0195024418563907, 0.02767825091069795, 0.01488474583117752, 0.039333081217441564, 0.01721376866397142, 0.01902520552298353, 0.031180116200721236, 0.023397195942387337, 0.03374463777971385, 0.01564060668922361, 0.02140541099853657, 0.018560697011764233, 0.025629109869320692, 0.010149411701073124, 0.03527383130333658, 0.014405989452876187, 0.015265753629213138, 0.025006639467751772, 0.025149741610377706, 0.02544861136156966, 0.03634148185941149, 0.02039302587031928, 0.03299750577772019, 0.01614051634052489, 0.02575907711123666, 0.02517382116576882, 0.01838131988595797, 0.024478796907278895, 0.01613230008323642, 0.023112790807168115, 0.017565975140449462, 0.028842627618251113, 0.0209156474365267, 0.02236206290924699, 0.025558204316681297, 0.017753873554089215, 0.033181319941686944, 0.017017630292882793, 0.021452148203492744, 0.01873025207659279, 0.029742124305736597, 0.020709252339457165, 0.03168505328723694, 0.03311597973220896, 0.031837790303230126, 0.022687826939507928, 0.02611579249284045, 0.018990554625176074, 0.012723446509114786, 0.02478653951190491, 0.01913474904516774, 0.037821844426228435, 0.023717693896662242, 0.04413616703607183, 0.020461407271959605, 0.030304711244657084, 0.023719315995647014, 0.021593077214324248, 0.030035115749744122, 0.02873538494144448, 0.022664867338916744, 0.02036176709287439, 0.025208362091905093, 0.021741998105688456, 0.03603639096846755, 0.017522235802273262, 0.024760753480580672, 0.016363165570815078, 0.037483626329629816, 0.017822273670365464, 0.029244523530523665, 0.017097686425328863, 0.030963540287094294, 0.0241779193306659, 0.011219892039025993, 0.026860420059398763, 0.02547000768877417, 0.02304333569894666, 0.021079070516255842, 0.01814191971206008, 0.02138529316628244, 0.0584448964184924, 0.0140044033263114, 0.022470743890772464, 0.023028671359784855, 0.024909994526866097, 0.014266739509268853, 0.018438486005824845, 0.029677839033745795, 0.028988790876179157, 0.01662907889935405, 0.018588863889733628, 0.022473902878281656, 0.013804172406656764, 0.022733408257969906, 0.019477820928332255, 0.02599874862960196, 0.034186057906183745, 0.03092008185225737, 0.019649236696681976, 0.026228194551663198, 0.015933555261880138, 0.02108720368919933, 0.0197927448915221, 0.016688264528535057, 0.009971016737220848, 0.025779672937665858, 0.019914439791030185, 0.01488100519358496, 0.02129797198110675, 0.02043681529209361, 0.029018738378775534, 0.028234929571628303, 0.011500828372130916, 0.020249559637039543, 0.021424209707861276, 0.021405914692445467, 0.012274897301310926, 0.011951909810393783, 0.0414279248952213, 0.0261096611763934, 0.03858360314923035, 0.021969770847314198, 0.012027788730049928, 0.019319339580961853, 0.023233130951067105, 0.01739040178332809, 0.035097780987579784, 0.023298150390069067, 0.015147948636550352, 0.02052129572671928, 0.02019813327226728, 0.007010468751232353, 0.023378848463007345, 0.04161953152119043, 0.028033036668518096, 0.02425979248604605, 0.01640459600689438, 0.017644477032747623, 0.01900107108877297, 0.021494270198176645, 0.05083329278049241, 0.03286467152800754, 0.03411000647244163, 0.020294968107565037, 0.009024850673328106, 0.02909548941195477, 0.013075613431134182, 0.024261782481783258, 0.019873113602934697, 0.023792827789832233, 0.02431711709392547, 0.01658739717640264, 0.016825557848041274, 0.02122590346453103, 0.01979003516746671, 0.02665202499605201, 0.015580668985380724, 0.021259005733559815, 0.017736694222587036, 0.05071357483749313, 0.01917321679311334, 0.011460226246787724, 0.03236764103436358, 0.02307558948430306, 0.03550351801338685, 0.02303796664130573, 0.03108187552734914, 0.025657846080484742, 0.022611671240148637, 0.031091121943459723, 0.04469095404916071, 0.025696300351337534, 0.031609045401790464, 0.015301515317213205, 0.018692317986956985, 0.01253410421427709, 0.020504598427284103, 0.020092075645279036, 0.05013158939432215, 0.01758857234962756, 0.022478200885895548, 0.03546951481398059, 0.01681213378794577, 0.018727288314002263, 0.022762593694126185, 0.027582463421568115, 0.028630361967153833, 0.012477355234724107, 0.016995808723967856, 0.03325657233930119, 0.01707812646437823, 0.018300869307277035, 0.018302338341611213, 0.02140911887338701, 0.0221389374349382, 0.019097982159014606, 0.028457959365398827, 0.03666352252935806, 0.02219046488754366, 0.021608658619042022, 0.0289409155932707, 0.012236043840989646, 0.03663039942324524, 0.017956191830876975, 0.023084938772643376, 0.021492026765205736, 0.019148928082277375, 0.015411414315108677, 0.014938644007628493, 0.024857102171169588, 0.02197810336259179, 0.017937145219299424, 0.016004856985702483, 0.026953340165375247, 0.022657772859913612, 0.018722260684449803, 0.014294036214551492, 0.029753344631330152, 0.022049754755223392, 0.01446582491669443, 0.014577523154000075, 0.028305585623422013, 0.014784500040136891, 0.023259900277359753, 0.03455834438897692, 0.008268946820671762, 0.019527276720312788, 0.026471210151598597, 0.02295333357435753, 0.01568382855595675, 0.019033473196114935, 0.022764298000764627, 0.023003012209830503, 0.023126978347833508, 0.023211364856100754, 0.02327558403411925, 0.023327540947176286, 0.023371238203821736, 0.023408985527748203, 0.023442238173636578, 0.023471972988475358, 0.023498877868132765, 0.023523455764615786, 0.023546085698635744, 0.023567060495237244, 0.023586611150557317, 0.02360492314402071, 0.023622147695266087, 0.023638409737798675, 0.02365381369652103, 0.02366844775818894, 0.023682387082799475, 0.02369569625752883, 0.023708431197458496, 0.023720640636924844, 0.023732367312720434, 0.02374364891295958, 0.02375451884483668, 0.02376500686180929, 0.02377513957927737, 0.023784940902767615, 0.02379443238487206, 0.023803633525417877, 0.023812562025094283, 0.023821234001087675, 0.023829664170980997, 0.023837866011073898, 0.02384585189248654, 0.02385363319941155, 0.023861220431682185, 0.02386862329449493, 0.023875850776844437, 0.02388291122053613, 0.023889812381228975, 0.023896561482210466, 0.02390316526229118, 0.023909630018283105, 0.023915961643065822, 0.023922165659405067, 0.023928247250574925, 0.02393421128769331, 0.023940062354398262, 0.0239458047690564, 0.023951442605028024, 0.02395697970884733, 0.023962419716925296, 0.02396776607050262, 0.023973022029551653, 0.023978190685275107, 0.023983274971663672, 0.023988277675906607, 0.023993201448220668, 0.02399804881055354, 0.024002822164928543, 0.024007523800838874, 0.02401215590219846, 0.02401672055390564, 0.02402121974756099, 0.024025655387105764, 0.024030029293876758, 0.024034343211391827, 0.024038598809636283, 0.02404279768919921, 0.024046941385131172, 0.024051031370447996, 0.024055069059443355, 0.024059055810784734, 0.024062992930385833, 0.02406688167414907, 0.02407072325050031, 0.024074518822721488, 0.02407826951121438, 0.024081976395564704, 0.024085640516566184, 0.024089262877987475, 0.024092844448355757, 0.024096386162607515, 0.024099888923598656, 0.024103353603593145, 0.02410678104560429, 0.02411017206474534, 0.02411352744936351, 0.02411684796229475, 0.024120134341912482, 0.024123387303154383, 0.024126607538574672, 0.024129795719163533, 0.024132952495353185, 0.02413607849777591, 0.024139174338099985, 0.024142240609755977, 0.024145277888687377]","[6.114747739529122, 6.211919514542446, 0.926521748060639, 4.8798608759018975]"
